Material_ID,Name,Calorie,Protein,Lipids,Fiber,Carbohydrates,SaltContent
1077,こむぎ　［その他］　パン粉　生,277,11,5.1,3,47.6,0.9
1078,こむぎ　［その他］　パン粉　半生,315,12.5,5.8,3.5,54.3,1
1079,こむぎ　［その他］　パン粉　乾燥,369,14.6,6.8,4,63.4,1.2
1150,こむぎ　［その他］　冷めん　生,249,3.9,0.7,1.1,57.6,1.3
1080,こめ　［水稲穀粒］　玄米,346,6.8,2.7,3,74.3,0
1081,こめ　［水稲穀粒］　半つき米,345,6.5,1.8,1.4,75.9,0
1082,こめ　［水稲穀粒］　七分つき米,348,6.3,1.5,0.9,76.6,0
1083,こめ　［水稲穀粒］　精白米　うるち米,342,6.1,0.9,0.5,77.6,0
1151,こめ　［水稲穀粒］　精白米　もち米,343,6.4,1.2,-0.5,77.2,0
1152,こめ　［水稲穀粒］　精白米　インディカ米,347,7.4,0.9,0.5,77.7,0
1084,こめ　［水稲穀粒］　はいが精米,343,6.5,2,1.3,75.8,0
1153,こめ　［水稲穀粒］　発芽玄米,339,6.5,3.3,3.1,74.3,0
1181,こめ　［水稲穀粒］　赤米,344,8.5,3.3,6.5,71.9,0
1182,こめ　［水稲穀粒］　黒米,341,7.8,3.2,5.6,72,0
1085,こめ　［水稲めし］　玄米,152,2.8,1,1.4,35.6,0
1086,こめ　［水稲めし］　半つき米,154,2.7,0.6,0.8,36.4,0
1087,こめ　［水稲めし］　七分つき米,160,2.6,0.5,0.5,36.7,0
1168,こめ　［水稲めし］　精白米　インディカ米,184,3.8,0.4,0.4,41.5,0
1088,こめ　［水稲めし］　精白米　うるち米,156,2.5,0.3,1.5,37.1,0
1154,こめ　［水稲めし］　精白米　もち米,188,3.5,0.5,-0.4,43.9,0
1089,こめ　［水稲めし］　はいが精米,159,2.7,0.6,0.8,36.4,0
1155,こめ　［水稲めし］　発芽玄米,161,3,1.4,1.8,35,0
1183,こめ　［水稲めし］　赤米,150,3.8,1.3,3.4,32.7,0
1184,こめ　［水稲めし］　黒米,150,3.6,1.4,3.3,32.2,0
